业务日期,年,月,省份,城市,客户类型,供应商,门店,商品名称,规格,数量(盒),单价(元),金额(元),有效期
2025-05-26,2025,5,山东省,潍坊市,连锁总部,供应商3981753072,门店3105667201,百乐眠胶囊,0.27g\24粒/瓶×1瓶/盒x200盒,2,50.0,100.0,2026-11-30
2025-05-26,2025,5,江苏省,常州市,连锁总部,供应商3826500444,门店3479214063,枸地氯雷他定片,8.8mg\5片/板×1板/盒x200盒,2,65.0,130.0,2026-11-30
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店1759597466,苏黄止咳胶囊,每粒装0.45g\9粒/板×1板/袋×1袋/盒x240盒,3,39.8,119.4,2026-05-31
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店4180122219,依帕司他片,50mg\9片/板×2板/盒x300盒,5,68.0,340.0,2027-11-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店3337654496,黄芪精,每支装10ml\60支/盒x8盒,-1,398.0,-398.0,2026-06-30
2025-05-26,2025,5,广东省,惠州市,连锁总部,供应商2146400823,门店2110108521,蓝芩口服液,每支装10ml\7支/盒x80盒,5,45.5,227.5,2026-11-30
2025-05-26,2025,5,北京市,北京市,连锁总部,供应商1140000869,门店2686938595,苏黄止咳胶囊,每粒装0.45g\12粒/板×2板/袋×1袋/盒x200盒,5,89.4,447.0,2026-07-31
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店253231194,富马酸卢帕他定片,10mg\5片x200盒,2,95.0,190.0,2026-09-30
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店20176787,罗红霉素胶囊,150mg\12粒/板×1板/盒x200盒,2,27.0,54.0,2027-11-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店1962546716,甲钴胺胶囊,0.5mg\50粒/瓶×1瓶/盒x100盒,-1,40.0,-40.0,2025-10-31
2025-05-26,2025,5,江苏省,常州市,连锁总部,供应商3826500444,门店233997103,蓝芩口服液,每1毫升相当于饮片2.12克\10ml/支×9支/盒x80盒,3,52.9,158.7,2026-10-31
2025-05-26,2025,5,江苏省,常州市,连锁总部,供应商3826500444,门店2050760281,黄芪精,每支装10ml\60支/盒x8盒,-7,388.0,-2716.0,2026-07-31
2025-05-26,2025,5,上海市,上海市,连锁总部,供应商2057597640,门店832719636,奥美拉唑肠溶胶囊,20mg\30粒/瓶×1瓶/盒x150盒,3,58.0,174.0,2026-09-30
2025-05-26,2025,5,江苏省,苏州市,连锁总部,供应商138934222,门店1535718337,蓝芩口服液,每1毫升相当于饮片2.12克\10ml/支×9支/盒x80盒,2,52.9,105.8,2026-10-31
2025-05-26,2025,5,江苏省,南京市,连锁总部,供应商138934222,门店533781555,苏黄止咳胶囊,每粒装0.45g\9粒/板×1板/袋×1袋/盒x240盒,5,38.0,190.0,2026-12-31
2025-05-26,2025,5,广东省,惠州市,连锁总部,供应商2146400823,门店2268456521,黄芪精,每支装10ml\12支/盒x40盒,-2,48.0,-96.0,2025-12-31
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店20176787,蓝芩口服液,每支装10ml\7支/盒x80盒,10,45.5,455.0,2026-11-30
2025-05-26,2025,5,江苏省,常州市,连锁总部,供应商3826500444,门店3479214063,蓝芩口服液,每1毫升相当于饮片2.12克\10ml/支×12支/盒x40盒,11,70.5,775.5,2026-10-31
2025-05-26,2025,5,江苏省,常州市,连锁总部,供应商3826500444,门店4004272595,蓝芩口服液,每1毫升相当于饮片2.12克\10ml/支×9支/盒x80盒,2,52.9,105.8,2026-10-31
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店3764544769,百乐眠胶囊,0.27g\24粒/瓶×1瓶/盒x200盒,2,43.8,87.6,2026-12-31
2025-05-26,2025,5,山东省,青岛市,连锁总部,供应商1843859073,门店3300673083,胃苏颗粒,每袋装5克(无蔗糖)\9袋/盒x60盒,5,29.9,149.5,2027-12-31
2025-05-26,2025,5,江苏省,苏州市,连锁总部,供应商138934222,门店3115191576,荜铃胃痛颗粒,每袋相当于饮片20克\6袋/盒x90盒,2,39.8,79.6,2028-02-28
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店3464665126,富马酸卢帕他定片,10mg\5片x200盒,2,95.0,190.0,2026-09-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店2646440463,富马酸卢帕他定片,10mg\5片x200盒,1,95.0,95.0,2026-09-30
2025-05-26,2025,5,广东省,东莞市,连锁总部,供应商2146400823,门店992073946,黄芪精,每支装10ml\30支/盒x12盒,1,225.0,225.0,2026-08-31
2025-05-26,2025,5,辽宁省,大连市,连锁总部,供应商22150743,门店3888398046,硝苯地平缓释片(Ⅰ),10mg\16片/板×4板/盒x120盒,1,19.9,19.9,2027-05-31
2025-05-26,2025,5,山东省,青岛市,连锁总部,供应商1843859073,门店1287391408,荜铃胃痛颗粒,每袋相当于饮片20克\6袋/盒x90盒,2,39.8,79.6,2027-07-31
2025-05-26,2025,5,山东省,青岛市,连锁总部,供应商1843859073,门店4288118305,氯雷他定片,10mg\12片/板×1板/盒x200盒,2,24.0,48.0,2028-01-31
2025-05-26,2025,5,江苏省,苏州市,连锁总部,供应商138934222,门店259849872,黄芪精,每支装10ml\60支/盒x8盒,5,388.0,1940.0,2026-07-31
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店2872291003,荜铃胃痛颗粒,每袋相当于饮片20克\6袋/盒x90盒,15,39.0,585.0,2027-05-31
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店2094774296,苏黄止咳胶囊,每粒装0.45g\9粒/板×1板/袋×1袋/盒x240盒,10,38.0,380.0,2026-03-31
2025-05-26,2025,5,江苏省,镇江市,连锁总部,供应商138934222,门店3189311302,荜铃胃痛颗粒,每袋相当于饮片20克\6袋/盒x90盒,1,39.8,39.8,2028-02-28
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店4021416730,富马酸卢帕他定片,10mg\5片x200盒,2,95.0,190.0,2026-09-30
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店3327982354,蓝芩口服液,每支装10ml\7支/盒x80盒,15,45.5,682.5,2026-11-30
2025-05-26,2025,5,四川省,成都市,连锁总部,供应商1482740674,门店2028401706,兰索拉唑肠溶片,15mg\14片x200盒,2,29.5,59.0,2026-10-31
2025-05-26,2025,5,广东省,深圳市,连锁总部,供应商2146400823,门店1448277882,黄芪精,每支装10ml\30支/盒x12盒,-1,225.0,-225.0,2025-09-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店1897141789,百乐眠胶囊,0.27g\24粒/瓶×1瓶/盒x200盒,2,43.8,87.6,2026-12-31
2025-05-26,2025,5,江苏省,无锡市,连锁总部,供应商3851299560,门店882063765,蓝芩口服液,每1毫升相当于饮片2.12克\10ml/支×12支/盒x40盒,2,70.5,141.0,2026-10-31
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店600832966,胃苏颗粒,每袋装5克(无蔗糖)\9袋/盒x60盒,1,26.5,26.5,2027-11-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店2752372222,富马酸卢帕他定片,10mg\5片x200盒,1,95.0,95.0,2026-09-30
2025-05-26,2025,5,湖北省,武汉市,连锁总部,供应商3281147653,门店618238031,苏黄止咳胶囊,每粒装0.45g\9粒/板×1板/袋×1袋/盒x240盒,15,38.0,570.0,2026-03-31
