销售日期,年,月,区域,城市,连锁总部,门店,商品名称,通用名,规格,生产企业,数量,单位,单价(元),金额(元),有效期
2025-03-26,2025,3,区域2548513671,,连锁总部1380472851,门店07867453,(Y)(G)(扬子江)百乐眠胶囊,,每粒装0.27克*56粒,扬子江药业集团有限公司,2.0,盒,118.0,236.0,
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1045370232,苯磺酸氨氯地平片（兰迪）,苯磺酸氨氯地平片（兰迪）,5mgx28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,30.0,30.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1045370232,荜铃胃痛颗粒,荜铃胃痛颗粒,5g*6袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,39.0,39.0,2027-05-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1068859857,格列吡嗪缓释片（秦苏）,格列吡嗪缓释片（秦苏）,5mgx24片,扬子江药业集团有限公司,1.0,盒,16.0,16.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1097874910,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,74.0,74.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店111642510,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,59.0,59.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店111642510,苯磺酸氨氯地平片（兰迪）,苯磺酸氨氯地平片（兰迪）,5mgx28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,33.0,33.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店111642510,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,2.0,盒,74.0,148.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店111642510,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,74.0,74.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1118820139,TG1荜铃胃痛颗粒（扬子江）,,5g*9s,扬子江药业集团江苏制药股份有限公司,1.0,盒,42.88,42.88,1970-01-01
